ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
NYMEX ULSD VS NYMEX HO,0,0,-,0,-,0,0,-
RBOB VS HEATING OIL SWAP,0,249.21,-100.0%,19.05,-100.0%,10,192,-94.8%
GULF COAST ULSD CRACK SPR,18,0,-,35.71,-49.2%,27,0,-
JET FUEL BRG FOB RDM VS I,0,0,-,0,-,0,0,-
TENNESSEE 800 LEG NG BASI,0,0,-,0,-,0,0,-
NEPOOL W CNTR M 5MW D AH,0,0,-,0,-,0,0,-
DATED TO FRONTLINE BRENT,45,15.79,183.3%,38.57,16.0%,42,98,-57.5%
PJM APS ZONE DA PEAK,0,0,-,0,-,0,0,-
PJM BGE DA PEAK,0,0,-,0,-,0,0,-
PJM PPL DA PEAK,0,0,-,0,-,0,0,-
PJM JCPL DA PEAK,0,0,-,0,-,0,0,-
PJM PSEG DA PEAK,0,0,-,0,-,0,0,-
PJM PSEG DA OFF-PEAK,0,0,-,0,-,0,0,-
PJM WESTH RT PEAK,158,"1,037.47",-84.8%,602.38,-73.8%,391,"1,069",-63.4%
ALGONQUIN CITYGATES BASIS,0,0,-,0,-,0,0,-
GASOIL 0.1 CIF MED SWAP,0,0,-,0,-,0,0,-
ICE GASOIL BALMO SWAP,0,0,-,0,-,0,0,-
ULSD 10PPM CIF MED SWAP,0,0,-,0,-,0,0,-
EUROPE 1% FUEL OIL NWE CA,1,5.58,-77.4%,6.86,-81.6%,4,8,-47.2%
NEW YORK HUB ZONE G PEAK,0,0,-,0,-,0,0,-
GULF COAST NO.6 FUEL OIL,"2,359","3,266.79",-27.8%,"3,532.52",-33.2%,"2,975","3,475",-14.4%
SINGAPORE FUEL 180CST CAL,40,97.84,-58.8%,34.71,16.0%,37,84,-55.7%
SINGAPORE FUEL OIL SPREAD,39,52.79,-26.6%,13.1,195.8%,25,57,-55.4%
NORTHERN ILLINOIS OFF-PEA,0,0,-,0,-,0,0,-
PJM ATSI ELEC,0,"2,597.37",-100.0%,0,-,0,"1,265",-100.0%
SING FUEL,0,0,-,0,-,0,0,-100.0%
EURO-DENOMINATED PETRO PROD,0,21.05,-100.0%,0,-,0,23,-100.0%
DATED BRENT (PLATTS) DAILY SWA,0,0,-,0,-,0,0,-
GAS EURO-BOB OXY NWE BARGES,310,388.84,-20.3%,491,-36.9%,405,395,2.5%
MINY RBOB GAS,0,0.21,0.0%,0.14,47.3%,0,0,-47.5%
LA JET FUEL VS NYM NO 2 H,0,1.32,-100.0%,0,-,0,1,-100.0%
ANR OKLAHOMA,0,0,-,0,-,0,0,-
MICHIGAN BASIS,0,0,-,0,-,0,66,-100.0%
TEXAS EASTERN ZONE M-3 BA,0,0,-,0,-,0,172,-100.0%
NORTHEN NATURAL GAS VENTU,0,0,-,4.76,-100.0%,3,0,-
CIG BASIS,7,0,-,0,-,4,0,-
PJM DAILY,0,0,-,0,-,0,0,-
COLUMBIA GULF ONSHORE,0,0,-,0,-,0,0,-
Tetco STX Basis,0,0,-,0,-,0,0,-
Transco Zone 3 Basis,0,0,-,0,-,0,0,-
GULF COAST ULSD CALENDAR,5,21.63,-77.1%,18.1,-72.7%,12,21,-43.4%
LA CARB DIESEL (OPIS) SWA,13,6.58,100.0%,9.52,38.2%,11,10,9.7%
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
EURO 3.5% FUEL OIL RDAM B,33,26.84,21.8%,30.29,7.9%,31,35,-10.5%
EUROPEAN NAPHTHA BALMO,17,15.74,6.7%,17.29,-2.9%,17,19,-8.3%
GASOIL MINI CALENDAR SWAP,1,8.95,-85.9%,19.14,-93.4%,11,8,35.7%
NY ULSD (ARGUS) VS HEATING OIL,0,13.53,-100.0%,0,-,0,146,-100.0%
EUROPE 1% FUEL OIL RDAM C,0,0,-,0,-,0,0,-
SAN JUAN BASIS SWAP,2,0,-,0,-,1,0,-
GULF COAST JET VS NYM 2 H,"3,331","2,532.68",31.5%,"2,171.19",53.4%,"2,722","2,340",16.3%
NYMEX ALUMINUM FUTURES,0,0,-,0,-,0,0,-
EURO 3.5% FUEL OIL SPREAD,1,14.53,-92.8%,4.76,-77.9%,3,28,-89.1%
GASOIL CALENDAR SWAP,0,0.32,0.0%,0,-,0,0,-67.5%
BRENT FINANCIAL FUTURES,211,11.16,1786.8%,0,-,100,232,-57.0%
ICE BRENT DUBAI SWAP,287,262.68,9.2%,686.19,-58.2%,497,430,15.4%
GASOIL CRACK SPREAD CALEN,348,490.26,-29.1%,658.33,-47.2%,511,469,8.8%
EUROPEAN NAPTHA CRACK SPR,388,343.58,12.9%,717.57,-45.9%,561,400,40.3%
CRUDE OIL,330,399.11,-17.4%,357.1,-7.7%,344,629,-45.3%
NEPOOL INTR HUB 5MW D AH,12,"8,197.89",-99.9%,"3,100.71",-99.6%,"1,633","3,996",-59.1%
PJM DAYTON DA OFF-PEAK,0,"3,350.53",-100.0%,0,-,0,"5,436",-100.0%
PJM JCPL DA OFF-PEAK,0,0,-,0,-,0,0,-
PJM WESTH RT OFF-PEAK,"1,232","4,120.53",-70.1%,"2,228.57",-44.7%,"1,755","9,521",-81.6%
CHICAGO ETHANOL SWAP,"5,080","4,486.37",13.2%,"5,865.62",-13.4%,"5,492","5,802",-5.3%
HENRY HUB BASIS SWAP,0,399.74,-100.0%,218.67,-100.0%,115,342,-66.4%
HENRY HUB SWAP,"7,364","7,262",1.4%,"11,586.38",-36.4%,"9,581","7,284",31.5%
PREM UNL GAS 10PPM RDAM FOB B,4,0,-,0,-,2,0,-
PREM UNL GAS 10PPM RDAM FOB S,1,1.11,-52.4%,0,-,0,1,-53.6%
MONT BELVIEU NORMAL BUTANE 5,"1,138","1,479.58",-23.1%,"1,315.05",-13.4%,"1,231","1,458",-15.6%
MONT BELVIEU ETHANE 5 DECIMAL,467,"2,345.21",-80.1%,"1,241.48",-62.4%,874,"2,365",-63.1%
MONT BELVIEU LDH PROPANE 5 DE,"6,331","5,057.16",25.2%,"7,497.95",-15.6%,"6,944","5,186",33.9%
SINGAPORE 180CST BALMO,2,3.79,-51.4%,2.86,-35.5%,2,2,28.6%
PJM APS ZONE DA OFF-PEAK,0,0,-,0,-,0,0,-
GRP THREE UNL GS (PLT) VS,93,19.47,378.6%,106.05,-12.1%,100,21,378.9%
SINGAPORE GASOIL VS ICE,996,647.16,53.9%,"1,476.19",-32.5%,"1,248",564,121.3%
NATURAL GAS PEN SWP,"1,941","6,191",-68.6%,"3,220.29",-39.7%,"2,613","6,130",-57.4%
WESTERN RAIL DELIVERY PRB,1,11.84,-93.3%,0,-,0,11,-96.5%
EUROPE DATED BRENT SWAP,0,0,-,0,-,0,1,-100.0%
SINGAPORE JET KERO GASOIL,406,78.95,414.3%,380,6.9%,392,133,194.8%
TETCO M-3 INDEX,0,0,-,0,-,0,0,-
PJM AECO DA PEAK,0,0,-,0,-,0,0,-
WAHA BASIS,36,0,-,66.57,-45.6%,52,19,178.2%
LA JET (OPIS) SWAP,134,116.58,15.1%,108.33,23.9%,121,127,-5.2%
NY HARBOR 1% FUEL OIL BAL,0,0,-,0,-,0,0,-
GASOIL 10PPM VS ICE SWAP,0,7.37,-100.0%,0,-,0,9,-100.0%
NYISO ZONE G 5MW D AH O P,"4,303","5,768.42",-25.4%,0,-,"2,044","4,655",-56.1%
EUROPEAN GASOIL (ICE),21,144.21,-85.1%,6,257.9%,13,134,-90.0%
ULSD UP-DOWN  BALMO SWP,219,155.26,41.4%,312.86,-29.8%,269,271,-0.8%
JET FUEL UP-DOWN BALMO CL,344,175.26,96.1%,411.9,-16.6%,380,223,70.0%
EIA FLAT TAX ONHWAY DIESE,5,24.16,-80.8%,12.67,-63.4%,9,50,-82.3%
NY 2.2% FUEL  OIL (PLATTS,0,0,-,0,-,0,0,-
RBOB CRACK SPREAD BALMO S,0,0,-,0,-,0,0,-
HEATING OIL BALMO CLNDR S,2,0,-,0.9,115.2%,1,0,-
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
INDIANA MISO,0,0,-,0,-,0,0,-
PETROLEUM PRODUCTS ASIA,103,86.53,18.9%,169.95,-39.5%,138,84,64.2%
AUSTRIALIAN COKE COAL,0,19.68,-100.0%,0,-,0,18,-100.0%
PETROLEUM PRODUCTS,395,156,153.0%,386.05,2.2%,390,207,88.5%
COAL SWAP,0,7.63,-100.0%,0.71,-100.0%,0,7,-94.3%
TC2 ROTTERDAM TO USAC 37K,12,0,-,5.71,108.2%,9,0,-
NYISO A OFF-PEAK,0,0,-,0,-,0,0,-
NYISO G OFF-PEAK,0,0,-,0,-,0,0,-
ISO NEW ENGLAND OFF-PEAK,0,0,-,0,-,0,0,-
SINGAPORE 380CST FUEL OIL,228,594.05,-61.6%,301.43,-24.3%,267,737,-63.8%
SINGAPORE JET KEROSENE SW,106,130.11,-18.3%,50,112.6%,77,95,-19.2%
SINGAPORE NAPHTHA SWAP,11,0,-,0,-,5,0,-
FLORIDA GAS ZONE3 BASIS S,0,0,-,0,-,0,0,-
TRANSCO ZONE4 BASIS SWAP,0,45.05,-100.0%,0,-,0,124,-100.0%
ANR LOUISIANA BASIS SWAP,0,0,-,0,-,0,0,-
CINERGY HUB OFF-PEAK MONT,0,0,-,0,-,0,0,-
DUBAI CRUDE OIL CALENDAR,115,169.21,-32.3%,229.76,-50.1%,175,505,-65.4%
PANHANDLE BASIS SWAP FUTU,14,0,-,0,-,7,1,458.6%
SONAT BASIS SWAP FUTURE,0,0,-,0,-,0,0,-
DIESEL 10P BRG FOB RDM VS,0,0,-,0.24,-100.0%,0,0,-
FUEL OIL NWE CRACK VS ICE,0,0,-,7.43,-100.0%,4,0,-
EUROPE 3.5% FUEL OIL RDAM,249,477.16,-47.7%,377.43,-33.9%,317,550,-42.5%
GULF COAST 3% FUEL OIL BA,25,138.68,-82.3%,156.52,-84.3%,94,76,24.2%
NY1% VS GC SPREAD SWAP,66,131.58,-49.8%,110.24,-40.1%,89,183,-51.2%
GASOIL 0.1 CIF NWE VS ISE,0,0,-,0,-,0,0,-
JET CIF NWE VS ICE,9,0,-,11.19,-22.4%,10,2,457.1%
EUROPE JET KERO NWE CALSW,0,0,-,0.71,-100.0%,0,0,-
JAPAN NAPHTHA BALMO SWAP,5,2.47,87.2%,0,-,2,2,-11.5%
ARGUS PROPAN(SAUDI ARAMCO,140,57.84,141.2%,116.71,19.5%,128,61,108.9%
NYISO G,0,0,-,0,-,0,0,-
NYISO J,0,0,-,0,-,0,0,-
NGPL MID-CONTINENT,0,39.16,-100.0%,19.05,-100.0%,10,19,-47.6%
BRENT BALMO SWAP,3,0,-,0,-,1,1,95.0%
EUROPE NAPHTHA CALSWAP,185,135.84,36.3%,262.57,-29.5%,226,137,64.8%
NY HARBOR RESIDUAL FUEL 1,58,122.95,-53.0%,70.19,-17.7%,64,146,-55.9%
PERMIAN BASIS SWAP,0,0,-,0,-,0,0,-
JAPAN C&F NAPHTHA CRACK S,12,7.26,70.3%,15.24,-18.8%,14,23,-38.9%
NATURAL GAS INDEX,0,0,-,0,-,0,1,-100.0%
PETRO CRCKS & SPRDS ASIA,3,0,-,16.86,-82.8%,10,8,30.7%
NYISO CAPACITY,1,43.05,-97.6%,7.14,-85.3%,4,30,-85.8%
COAL API2 INDEX,2,0,-,0,-,1,0,-
GASOIL 0.1 ROTTERDAM BARG,1,0.53,50.0%,1.19,-33.7%,1,1,11.4%
GASOIL 0.1 CIF VS ICE GAS,0,0,-,0,-,0,1,-100.0%
GRP THREE ULSD(PLT)VS HEA,269,91.63,193.5%,222.86,20.7%,245,116,111.2%
GASOIL 0.1CIF MED VS ICE,0,2.63,-100.0%,0,-,0,1,-100.0%
PJM AECO DA  OFF-PEAK,0,0,-,0,-,0,0,-
PJM PPL DA OFF-PEAK,0,0,-,0,-,0,0,-
PJM DAYTON DA PEAK,0,185.26,-100.0%,0,-,0,129,-100.0%
PREMIUM UNLEAD 10PPM FOB,4,0.53,600.0%,4.05,-9.0%,4,0,844.4%
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
PJM WESTH DA OFF-PEAK,0,394.74,-100.0%,"2,228.57",-100.0%,"1,170",192,508.4%
GASOIL 0.1 RDAM BRGS VS I,0,0,-,0.24,-100.0%,0,0,-
GASOIL 10P CRG CIF NW VS,0,0,-,0,-,0,0,-
PJM WESTHDA PEAK,0,24.21,-100.0%,121.43,-100.0%,64,12,440.5%
NEPOOL RHODE IL 5MW D AH,0,0,-,0,-,0,0,-
CHICAGO UNL GAS PL VS RBO,8,0,-,7.14,10.5%,8,0,-
ETHANOL,485,822.63,-41.1%,500.1,-3.0%,493,885,-44.3%
NYISO ZONE A 5MW D AH O P,0,0,-,0,-,0,240,-100.0%
CIN HUB 5MW D AH O PK,0,"3,528.42",-100.0%,0,-,0,"1,719",-100.0%
PJM COMED 5MW D AH O PK,0,0,-,0,-,0,989,-100.0%
NYISO ZONE A 5MW D AH PK,0,35,-100.0%,0,-,0,172,-100.0%
SOUTH STAR TEX OKLHM KNS,0,0,-,0,-,0,0,-
NY 3.0% FUEL  OIL (PLATTS,17,15.79,8.3%,8.33,105.3%,13,30,-58.5%
ARGUS LLS VS. WTI (ARG) T,"1,514",529.26,186.1%,"2,003.57",-24.4%,"1,771",488,263.0%
NO 2 UP-DOWN SPREAD CALEN,48,35.53,34.8%,2.38,1911.5%,24,49,-51.0%
N ILLINOIS HUB DAILY,0,0,-,0,-,0,0,-
PROPANE NON-LDH MT. BEL (OPIS),502,421.53,19.1%,263.62,90.4%,377,549,-31.4%
PROPANE NON-LDH MB (OPIS) BAL,25,52.89,-53.3%,12.38,99.4%,18,72,-74.7%
JET AV FUEL (P) CAR FM ICE GAS S,0,0,-,0.24,-100.0%,0,0,-
SINGAPORE MOGAS 92 UNLEADED,829,257.47,221.9%,"1,116.62",-25.8%,980,549,78.6%
SINGAPORE MOGAS 92 UNLEADED,25,4.32,489.0%,31.19,-18.5%,28,3,937.0%
ETHANOL T2 FOB ROTT INCL DUTY,141,208.11,-32.3%,154.9,-9.1%,148,215,-31.1%
FUEL OIL (PLATS) CAR CM,0,0,-,4.71,-94.4%,3,0,-
FUEL OIL (PLATS) CAR CN,0,0,-,2.14,-100.0%,1,0,-
GROUP THREE ULSD (PLATTS),6,0,-,0,-,3,0,-
MICHIGAN MISO,0,"3,275.53",-100.0%,0,-,0,"1,596",-100.0%
INDONESIAN COAL,0,0.26,-100.0%,0,-,0,0,-100.0%
NATURAL GAS FIXED PRICE SWAP F,0,0,-,0,-,0,0,-
NAT GAS BASIS SWAP,0,45.05,-100.0%,0,-,0,33,-100.0%
SUMAS NAT GAS PLATTS FIXED PRI,0,0,-,0,-,0,0,-
ELEC WEST POWER PEAK,0,0,-,0,-,0,39,-100.0%
ELEC WEST POWER OFF-PEAK,0,0,-,0,-,0,0,-
NY HARBOR LOW SULPUR GAS 1000,43,10.26,323.1%,0,-,21,22,-5.7%
CRUDE OIL TRADE AT MARKER SIN,0,0,-,0,-,0,0,-
MINI RBOB V. EBOB(ARGUS) NWE B,54,93.89,-42.5%,90.48,-40.4%,73,119,-38.7%
CANADIAN LIGHT SWEET OIL,0,32.37,-100.0%,0,-,0,49,-100.0%
MINI RBOB V. EBOBARG NWE BRGS,0,12.11,-100.0%,5.71,-100.0%,3,24,-87.6%
MINI GAS EUROBOB OXY NWE ARG,12,10.84,14.1%,17.43,-29.0%,15,17,-12.9%
MARS BLEND CRUDE OIL,6,68.32,-90.8%,31.43,-79.9%,20,123,-84.2%
DY EURO 3.5% FUEL OI RDA,0,0,-,0,-,0,38,-100.0%
3.5% FUEL OIL CIF BALMO S,0,4.74,-100.0%,0,-,0,3,-100.0%
CIG ROCKIES NG  INDEX SWA,0,0,-,0,-,0,0,-
TRANSCO ZONE 6 INDEX,0,45.05,-100.0%,0,-,0,22,-100.0%
CAISO SP15 EZGNHUB5 PEAK,0,0,-,0,-,0,0,-
TCO NG INDEX SWAP,0,0,-,0,-,0,0,-
CEU ENERGY,346,0,-,25.43,1261.3%,178,0,-
ERCOT DAILY 5MW PEAK,0,0,-,0,-,0,0,-
ELECTRICITY ERCOT PEAK,0,0,-,0,-,0,0,-
DIESEL 10PPM BARGES FOB B,0,0,-,0,-,0,0,-
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
ULSD 10PPM CIF NW BALMO S,0,0,-,0,-,0,0,-
TRANSCO ZONE 3 NG INDEX S,0,0,-,0,-,0,0,-
PETRO OUTRIGHT EURO,0,15.79,-100.0%,0,-,0,8,-100.0%
PETROCHEMICALS,94,63.68,48.3%,56.57,67.0%,75,85,-12.1%
NATURAL GAS OPTION ON CALEND,79,6.32,1150.0%,524,-84.9%,313,13,2244.5%
ELEC MISO PEAK,0,0,-,0,-,0,0,-
HENRY HUB FINANCIAL LAST,125,314.37,-60.3%,429.48,-70.9%,285,254,12.1%
PETRO OUTRIGHT NA,0,0,-,0,-,0,0,-
NATURAL GAS PHY,"100,957","132,740.84",-23.9%,"221,962.86",-54.5%,"164,485","139,763",17.7%
CRUDE OIL OUTRIGHTS,0,0,-,0,-,0,0,-
EUROPEAN JET KEROSENE NWE (P,0,0,-,0,-,0,0,-
HEATING OIL PHY,"2,753","1,446.26",90.4%,"1,577.43",74.5%,"2,136","1,292",65.3%
NY HARBOR HEAT OIL SWP,287,120.21,138.9%,102.05,181.4%,190,168,13.1%
BRENT CALENDAR SWAP,0,103.26,-100.0%,54.29,-100.0%,29,50,-43.3%
NATURAL GAS 3 M CSO FIN,287,225,27.5%,47.67,501.8%,161,133,21.0%
RBOB PHY,769,911.05,-15.6%,723.48,6.2%,745,859,-13.3%
SAN JUAN PIPE SWAP,0,18.95,-100.0%,0,-,0,9,-100.0%
NATURAL GAS 2 M CSO FIN,0,13.16,-100.0%,0,-,0,19,-100.0%
SINGAPORE JET FUEL CALEND,0,0,-,0,-,0,0,-
WTI-BRENT BULLET SWAP,"6,421","1,680",282.2%,"5,089.43",26.2%,"5,722","3,084",85.6%
BRENT 1 MONTH CAL,158,0,-,0,-,75,0,-
CRUDE OIL APO,"2,205","2,162.84",2.0%,"3,026.9",-27.1%,"2,637","1,929",36.7%
WTI CRUDE OIL  1 M CSO FI,"2,125","2,531.58",-16.1%,"3,645.24",-41.7%,"2,923","2,574",13.5%
NATURAL GAS 6 M CSO FIN,"1,253",410.53,205.1%,697.62,79.6%,961,353,172.6%
RBOB CALENDAR SWAP,16,15.79,0.0%,0,-,8,37,-80.0%
CRUDE OIL PHY,"215,775","144,821.37",49.0%,"184,773.71",16.8%,"199,499","149,654",33.3%
RBOB 1MO CAL SPD OPTIONS,11,0,-,0,-,5,0,-
MCCLOSKY ARA ARGS COAL,5,0,-,0,-,2,0,-
MCCLOSKY RCH BAY COAL,29,0,-,14.29,102.6%,21,0,-
NYISO ZONE G 5MW PEAK OPTIONS,0,452.63,-100.0%,0,-,0,508,-100.0%
NATURAL GAS,0,0,-,0,-,0,0,-
N ROCKIES PIPE SWAP,0,31.89,-100.0%,0,-,0,16,-100.0%
SOCAL PIPE SWAP,0,0,-,0,-,0,0,-
PANHANDLE PIPE SWAP,0,0,-,0,-,0,0,-
ETHANOL SWAP,423,223.16,89.4%,491.9,-14.1%,459,289,58.7%
SHORT TERM NATURAL GAS,97,522.11,-81.5%,142.19,-31.9%,121,441,-72.6%
BRENT OIL LAST DAY,"5,547","1,261.63",339.7%,"4,579.48",21.1%,"5,039","1,010",398.7%
SINGAPORE GASOIL CALENDAR,0,0,-,0,-,0,0,-
HEATING OIL CRACK OPTIONS,0,0,-,0,-,0,0,-
HEATING OIL CRK SPD AVG PRICE,0,0,-,0,-,0,0,-
HO 1 MONTH CLNDR OPTIONS,0,0,-,0,-,0,0,-
CRUDE OIL 1MO,"9,224","6,357.89",45.1%,"11,165.48",-17.4%,"10,243","8,305",23.3%
ROTTERDAM 3.5%FUEL OIL CL,0,0,-,0,-,0,0,-
SHORT TERM,41,137.63,-70.6%,81.19,-50.1%,62,127,-51.3%
COAL SWAP,0,3.16,-100.0%,0,-,0,5,-100.0%
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
NATURAL GAS 5 M CSO FIN,0,107.89,-100.0%,0,-,0,53,-100.0%
NYMEX EUROPEAN GASOIL APO,0,0,-,0,-,0,0,-
COAL API2 INDEX,68,72.16,-5.2%,36.19,89.1%,52,71,-27.4%
COAL API4 INDEX,0,0,-,4.05,-100.0%,2,0,-
NATURAL GAS 1 M CSO FIN,"3,509",568.42,517.4%,"6,946.05",-49.5%,"5,314",982,441.1%
ETHANOL,0,15.79,-100.0%,0,-,0,8,-100.0%
PJM WES HUB PEAK CAL MTH,47,31.58,50.0%,0,-,23,47,-52.3%
PJM WES HUB PEAK LMP 50MW,36,270.26,-86.5%,73.24,-50.3%,56,166,-66.3%
GASOLINE,0,0,-,0,-,0,0,-
LLS CRUDE OIL,5,173.68,-97.0%,0,-,3,85,-97.0%
12 MO GASOIL CAL SWAP SPR,0,0,-,0,-,0,0,-
BRENT CRUDE OIL  12 M CSO,0,0,-,95.24,-100.0%,50,0,-
PALLADIUM,"8,657","7,455.16",16.1%,"4,704.76",84.0%,"6,582","6,503",1.2%
NYMEX PLATINUM,"18,237","15,099.63",20.8%,"21,146.38",-13.8%,"19,765","16,218",21.9%
NYMEX HOT ROLLED STEEL,477,151.05,216.1%,496.9,-3.9%,488,215,127.2%
URANIUM,2,62.11,-97.0%,30.95,-94.0%,17,40,-56.9%
COMEX SILVER,"113,458","95,226.84",19.1%,"104,124.52",9.0%,"108,558","82,650",31.3%
COMEX GOLD,"319,925","231,176.58",38.4%,"436,279.71",-26.7%,"381,011","265,929",43.3%
COMEX COPPER,"157,926","123,583.74",27.8%,"131,486.86",20.1%,"144,045","103,727",38.9%
COMEX MINY COPPER,41,62.68,-34.2%,32.48,27.1%,37,46,-20.3%
COPPER,89,21.84,305.3%,183.48,-51.8%,138,12,1036.1%
E-MICRO GOLD,"6,630","4,442.11",49.2%,"6,792.19",-2.4%,"6,715","4,132",62.5%
SILVER,451,251.42,79.4%,295.81,52.5%,370,271,36.2%
FERROUS PRODUCTS,287,8.95,3112.4%,69.86,311.4%,173,4,3873.4%
ALUMINUM,"1,143",806.32,41.8%,715.52,59.8%,919,"1,108",-17.1%
GOLD,0,0,-,0,-,0,0,-
Gold Kilo,2,15.37,-87.3%,0.19,922.3%,1,28,-96.3%
LNDN ZINC,0,0.79,-73.3%,1.38,-84.8%,1,1,60.9%
IRON ORE 62 CHINA PLATTS FUTUR,0,50.11,-100.0%,0,-,0,25,-100.0%
IRON ORE 62 CHINA TSI FUTURES,94,469.74,-80.1%,151.33,-38.2%,124,502,-75.3%
COMEX E-Mini GOLD,349,413.37,-15.6%,387.19,-9.9%,369,513,-28.2%
COMEX E-Mini SILVER,79,49.26,60.1%,47.67,65.5%,63,47,33.5%
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
PALLADIUM,178,111.16,59.8%,153,16.1%,165,174,-5.5%
NYMEX PLATINUM,180,111.47,61.1%,224,-19.8%,203,168,20.9%
COMEX SILVER,"6,840","4,251.74",60.9%,"7,537.33",-9.2%,"7,206","4,493",60.4%
COMEX GOLD,"51,856","38,215.26",35.7%,"45,596.67",13.7%,"48,570","36,509",33.0%
COMEX COPPER,"1,051",192.74,445.2%,956.52,9.8%,"1,001",200,399.7%
SILVER,28,14.95,86.3%,4.38,535.5%,16,8,84.0%
GOLD,"1,613",518.63,211.1%,"1,953.29",-17.4%,"1,792",395,353.1%
IRON ORE 62 CHINA TSI PUT OPTIO,28,180,-84.2%,8.57,231.6%,18,138,-87.0%
IRON ORE 62 CHINA TSI CALL OPTIO,0,116.32,-100.0%,0,-,0,79,-100.0%
HOT ROLLED COIL STEEL CALL OPT,0,0,-,0,-,0,0,-
ADV,ADV,,ADV,,ADV,ADV,
FEB 2018,FEB 2017,% CHG,JAN 2018,% CHG,Y.T.D 2018,Y.T.D 2017,% CHG
HDD SEASONAL STRIP,0,0,-,0,-,0,0,-
CDD SEASONAL STRIP,0,0,-,0,-,0,0,-
CDD WEATHER,0,0,-,0,-,0,0,-
HDD WEATHER EUROPEAN,0,5.26,-100.0%,0,-,0,10,-100.0%
HDD WEATHER,19,7.89,143.3%,6.67,188.2%,13,24,-48.2%
HOUSING INDEX,0,0.42,-62.5%,0.43,-63.2%,0,1,-64.5%
USD CRUDE PALM OIL,6,2.11,200.0%,30.48,-79.3%,19,12,53.1%
MILK,983,"1,473.74",-33.3%,"1,124.29",-12.5%,"1,057","1,422",-25.6%
HDD EURO SEASONAL STRIP,0,0,-,0,-,0,0,-
CASH-SETTLED CHEESE,425,636.42,-33.2%,683.81,-37.8%,561,543,3.4%
LIVE CATTLE,"56,768","50,439.84",12.5%,"71,116.19",-20.2%,"64,301","57,929",11.0%
BUTTER CS,341,138,146.8%,266.62,27.7%,302,129,134.7%
LUMBER,"1,117","1,058.68",5.5%,747.14,49.5%,923,808,14.2%
DRY WHEY,76,159.74,-52.3%,81.57,-6.6%,79,151,-47.5%
CLASS IV MILK,48,136.89,-64.7%,24.52,96.8%,36,83,-56.8%
NFD MILK,250,469.74,-46.8%,250.95,-0.4%,251,357,-29.8%
GSCI EXCESS RETURN FUT,234,121.58,92.9%,139.86,67.7%,185,100,84.8%
LEAN HOGS,"49,287","39,075.16",26.1%,"47,257.86",4.3%,"48,222","40,762",18.3%
FEEDER CATTLE,"15,245","12,057.53",26.4%,"12,049.52",26.5%,"13,568","11,103",22.2%
MLK MID,0,0,-,0,-,0,0,-
GOLDMAN SACHS,"1,524","1,745.68",-12.7%,"1,462.38",4.2%,"1,492","1,792",-16.8%
COCOA TAS,0,0.63,-100.0%,0,-,0,0,-100.0%
SUGAR 11,0,0.16,-100.0%,0,-,0,0,-100.0%
COFFEE,0,0,-,0,-,0,0,-
COTTON,0,0,-,0.1,-100.0%,0,0,95.3%
MINI WHEAT,337,352.47,-4.3%,205.29,64.3%,268,307,-12.8%
CORN,"569,410","441,013.89",29.1%,"308,311.48",84.7%,"432,334","366,423",18.0%
SOYBEAN MEAL,"182,469","113,534.37",60.7%,"118,210.62",54.4%,"148,734","102,965",44.4%
SOYBEAN OIL,"184,373","144,081.68",28.0%,"101,297.52",82.0%,"140,758","121,517",15.8%
ROUGH RICE,"1,177","1,988.47",-40.8%,799.1,47.3%,979,"1,279",-23.5%
DOW-UBS COMMOD INDEX,"3,008",860.68,249.5%,"3,633.62",-17.2%,"3,336",926,260.3%
MINI SOYBEAN,"2,014","1,080.11",86.5%,"1,019.24",97.6%,"1,492","1,070",39.4%
WHEAT,300,371.84,-19.3%,177.62,69.0%,236,531,-55.6%
OATS,785,878.47,-10.7%,744.43,5.4%,764,816,-6.4%
SOYBEAN,"357,869","273,532.16",30.8%,"193,662.29",84.8%,"271,660","229,687",18.3%
MINI CORN,551,564.16,-2.3%,395.29,39.4%,469,486,-3.4%
FERTILIZER PRODUCS,126,73.42,71.7%,70.24,79.5%,97,77,25.1%
S&P GSCI ENHANCED ER SWAP,593,0,-,0,-,282,0,-
KC WHEAT,"98,659","55,588.58",77.5%,"61,742.81",59.8%,"79,278","48,930",62.0%
